"Account","Trade P&L","Commission & Fees","Net P&L","Trade Count","Winning Trades","Losing Trades","Win %","Lose %","Scratched Trades","Scratched %","Ticks Made","Max Drawdown","Max Drawdown %"
"188076","-1352.50","152.00","-1504.50","34","11","23","32.35","67.65","0","0.00","0","",""
"CLV5","-100.00","28.00","-128.00","5","3","2","60.00","40.00","0","0.00","0","",""
"20250902","94276072","B","2025-09-02 08:36:23","95.725","94276084","S","2025-09-02 08:36:47","95.650","23.574174","1","-30.00","4.00","-34.00",""
"20250902","94276078","B","2025-09-02 08:35:46","95.750","94276082","S","2025-09-02 08:36:47","95.650","61.059768","1","-40.00","4.00","-44.00",""
"20250902","94274716","S","2025-09-02 08:31:39","95.525","94274728","B","2025-09-02 08:33:39","95.600","120.411473","1","-30.00","4.00","-34.00",""
"20250902","94274713","S","2025-09-02 08:31:38","95.525","94274722","B","2025-09-02 08:33:39","95.600","121.306297","1","-30.00","4.00","-34.00",""
"PLV5","25.00","44.00","-19.00","11","7","4","63.64","36.36","0","0.00","0","",""
"Trade Date","Entry Order Number","Entry Buy/Sell","Entry Time","Entry Price","Exit Order Number","Exit Buy/Sell","Exit Time","Exit Price","Trade Life Span (Seconds)","Fill Size","Trade P&L","Commission & Fees","Net P&L","Ticks Made"
"20250902","94324029","B","2025-09-02 12:38:31","1412.8","94324155","S","2025-09-02 12:39:06","1412.6","34.902640","1","-10.00","4.00","-14.00",""
"20250902","94321699","S","2025-09-02 12:07:58","1416.7","94321718","B","2025-09-02 12:08:16","1416.0","18.125641","1","35.00","4.00","31.00",""
"20250902","94321530","B","2025-09-02 12:05:43","1414.4","94321608","S","2025-09-02 12:06:21","1414.6","37.964909","1","10.00","4.00","6.00",""
"20250902","94321530","B","2025-09-02 12:05:43","1414.4","94321600","S","2025-09-02 12:06:16","1414.8","33.488924","1","20.00","4.00","16.00",""
"20250902","94321530","B","2025-09-02 12:05:43","1414.4","94321586","S","2025-09-02 12:06:12","1415.0","29.187357","1","30.00","4.00","26.00",""
"20250902","94321505","B","2025-09-02 12:05:19","1414.1","94321578","S","2025-09-02 12:06:10","1415.0","51.299430","1","45.00","4.00","41.00",""
"20250902","94321505","B","2025-09-02 12:05:19","1414.1","94321561","S","2025-09-02 12:06:02","1415.1","43.413238","1","50.00","4.00","46.00",""
"20250902","94321505","B","2025-09-02 12:05:19","1414.1","94321560","S","2025-09-02 12:06:01","1415.0","42.397728","1","45.00","4.00","41.00",""
"20250902","94321260","S","2025-09-02 12:03:02","1411.0","94321288","B","2025-09-02 12:03:46","1412.4","43.322358","1","-70.00","4.00","-74.00",""
"20250902","94321260","S","2025-09-02 12:03:02","1411.0","94321284","B","2025-09-02 12:03:46","1412.4","43.322313","1","-70.00","4.00","-74.00",""
"20250902","94321260","S","2025-09-02 12:03:02","1411.1","94321282","B","2025-09-02 12:03:46","1412.3","43.322306","1","-60.00","4.00","-64.00",""


